endTime,artistName,trackName,msPlayed
2022-01-12 10:58,Zlatan,Ale Yi,161066
2022-01-12 11:00,T-Classic,MAKAVELI,138114
2022-01-12 11:00,Wizkid,Anoti,12181
2022-01-12 11:03,T-Classic,MAKAVELI,138114
2022-01-12 11:06,Wizkid,Anoti,181360
2022-01-12 11:09,LADIPOE,Running,214615
2022-01-12 11:12,CKay,love nwantiti (ah ah ah) [feat. Joeboy & Kuami Eugene] [Remix],188093
2022-01-12 11:16,Kodak Black,Super Gremlin,200547
2022-01-12 14:01,MerryGo Kids,Celebrate,28568
2022-01-12 14:04,Kizz Daniel,Pour Me Water,146399
2022-01-12 14:07,Wande Coal,Come My Way,208718
2022-01-12 14:09,Mister Versace,Opor,148709
2022-01-12 14:10,Gunna,poochie gown,7310
2022-01-12 14:10,Ruger,Snapchat,43081
2022-01-12 14:11,Gunna,how you did that (feat. Kodak Black),14280
2022-01-12 14:11,Shuga,Wait,29330
2022-01-12 14:12,Gunna,idk that bitch (feat. G Herbo),29440
2022-01-12 14:14,Ch'cco,Nkao Tempela,140630
2022-01-12 14:17,Gunna,life of sin (feat. Nechie),6525
2022-01-12 14:17,1da Banton,No Wahala,2200
2022-01-12 14:17,Timaya,Cold Outside,181224
2022-01-12 14:17,Gunna,alotta cake,1290
2022-01-12 14:20,Adekunle Gold,High,193758
2022-01-12 14:23,Bad Boy Timz,Move,150491
2022-01-12 14:24,Fireboy DML,Peru,60010
2022-01-12 23:45,DC,Paro(noia),5449
2022-01-12 23:45,5 Seconds of Summer,Ghost Of You,197411
2022-01-12 23:52,BNXN fka Buju,Italy,188395
2022-01-13 00:09,Maroon 5,Cold (feat. Future),234308
2022-01-13 00:11,DC,God’s House,140280
2022-01-13 00:16,Pop Smoke,Mood Swings (feat. Lil Tjay),213333
2022-01-13 00:19,Phora,im scared of falling in love,176588
2022-01-13 00:22,Rema,Peace Of Mind,1330
2022-01-13 00:22,Labi Siffre,My Song,159699
2022-01-13 00:25,Linkin Park,What I've Done,205613
2022-01-13 00:28,Pop Smoke,Manslaughter (feat. Rick Ross & The-Dream),29723
2022-01-13 00:28,Mohbad,Feel Good,169813
2022-01-13 00:28,Christina Perri,A Thousand Years,1360
2022-01-13 00:28,Powfu,the long way home (feat. Sara Kays & Sarcastic Sounds),920
2022-01-13 00:28,Zaini,wherever you would call me,2460
2022-01-13 00:32,Taylor Swift,the last great american dynasty,230999
2022-01-13 00:33,Sara Kays,Picture Of You,38480
2022-01-13 00:33,Andra Day,Rise Up,1120
2022-01-13 00:37,Tom Odell,Another Love,244360
2022-01-13 00:42,The Goo Goo Dolls,Iris,289533
2022-01-13 00:46,Adele,Love In The Dark,1140
2022-01-13 00:46,Sam Smith,Lay Me Down,1330
